name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,16687,4485905406,,,,,primary,0,102.9403149,36.2949269,,,
,16694,4488333298,,,,,secondary,0,105.9354206,35.0054418,,,
,16703,4491239595,,,,,primary,0,105.4370315,35.0520452,,,
,16704,4492031377,,,,,primary,0,105.9163668,34.4767225,,,
,16705,4492031379,,,,,primary,0,105.9164892,34.4768013,,,
,16706,4492031421,,,,,primary,0,105.9151389,34.4782687,,,
,16707,4492031422,,,,,primary,0,105.9152528,34.478325,,,
,16709,4502238237,,,,,secondary,1,103.652165,36.4578861,,,
,16710,4502238238,,,,,secondary,1,103.6514783,36.4578841,,,
,16718,4502238350,,,,,primary,0,103.6181451,36.4538033,,,
,16719,4502238351,,,,,primary,0,103.618402,36.4538034,,,
,16722,4502238356,,,,,primary,0,103.6587334,36.4544927,,,
,16723,4502238357,,,,,primary,0,103.6181277,36.453592,,,
,16726,4503241389,,,,,primary,0,103.6034645,36.1516191,,,
,16727,4503241410,motorway_junction,,,,motorway,0,103.5563398,36.181641,,,
,16729,4503241435,,,,,motorway,0,103.5560444,36.1853604,,,
,16730,4503241444,motorway_junction,,,,primary,0,103.6008568,36.1541482,,,
,16731,4504047635,,,,,secondary,0,105.22766,35.2142564,,,
,16732,4504047643,,,,,secondary,0,105.2276654,35.2143799,,,
,16733,4504047660,,,,,secondary,0,105.2161844,35.2150348,,,
,16734,4504047668,,,,,secondary,0,105.2107556,35.2153766,,,
,16735,4504047672,,,,,secondary,0,105.210794,35.2155164,,,
,16736,4504198968,,,,,trunk,0,104.6665529,34.970817,,,
,16737,4504198974,,,,,primary,0,104.6696252,34.9733433,,,
,16738,4504198981,,,,,secondary,0,104.6727071,34.9758712,,,
,16739,4506007569,,,,,motorway,1,103.7375429,35.6489919,,,
,16740,4506007606,,,,,motorway,1,103.7382319,35.6495195,,,
,16741,4506007619,,,,,motorway,1,103.7366416,35.649863,,,
