name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,175,716709486,,yes,,,"POLYGON ((103.8651563 36.0385887, 103.8651144 36.0384775, 103.8649955 36.0385068, 103.8650562 36.038668, 103.8651751 36.0386388, 103.8651998 36.0387043, 103.8654892 36.038633, 103.8654457 36.0385175, 103.8651563 36.0385887))",POINT (103.8652362 36.038597),574.8,6186.6
,176,425568310,,yes,,,"POLYGON ((103.8346796 36.0564551, 103.8346859 36.0565707, 103.8353472 36.056547, 103.8353409 36.0564314, 103.8346796 36.0564551))",POINT (103.8350134 36.056501),767.5,8261.4
,177,421089014,,yes,,,"POLYGON ((103.6126273 36.0980027, 103.6125979 36.0979444, 103.612526 36.0979681, 103.6125474 36.0980106, 103.6125175 36.0980205, 103.612496 36.097978, 103.612428 36.0980004, 103.6124574 36.0980587, 103.6124106 36.0980741, 103.6124579 36.0981679, 103.6127029 36.0980871, 103.6126556 36.0979934, 103.6126273 36.0980027))",POINT (103.612549 36.0980593),368.5,3966.5
,178,422502269,,yes,,,"POLYGON ((105.6810574 34.5679084, 105.6813925 34.5678828, 105.6813306 34.5673343, 105.6809956 34.56736, 105.6810574 34.5679084))",POINT (105.681194 34.5676214),1888.3,20325.5
,179,779941295,,yes,,,"POLYGON ((107.6349208 35.7274577, 107.6341156 35.7273073, 107.6340866 35.7274098, 107.6348917 35.7275602, 107.6349208 35.7274577))",POINT (107.6345037 35.7274338),871.8,9384.3
,180,409744706,,yes,,,"POLYGON ((103.7302453 36.051898, 103.73032 36.0520534, 103.7307894 36.051906, 103.7307147 36.0517505, 103.7302453 36.051898))",POINT (103.7305174 36.051902),838.0,9020.6
金发写字楼,181,457655985,,yes,townhall,,"POLYGON ((103.283911 35.9587065, 103.2839112 35.9586682, 103.2842884 35.9585745, 103.2842347 35.958466, 103.2837391 35.9585494, 103.2832696 35.9585476, 103.2827005 35.9584616, 103.2826737 35.9586049, 103.2830728 35.958679, 103.2830727 35.9587034, 103.283911 35.9587065))",POINT (103.2834558 35.9585974),2432.7,26185.5
,182,781312630,,yes,,,"POLYGON ((107.6299506 35.7249667, 107.6302886 35.7250015, 107.6303006 35.7249247, 107.6299627 35.7248899, 107.6299506 35.7249667))",POINT (107.6301256 35.7249457),262.4,2824.0
,183,424495793,,yes,,,"POLYGON ((103.8221449 36.0302359, 103.8222659 36.0301908, 103.8222246 36.0301185, 103.8221036 36.0301636, 103.8221449 36.0302359))",POINT (103.8221847 36.0301772),106.2,1143.1
,184,361016442,,yes,,,"POLYGON ((102.1039416 38.3906519, 102.104025 38.3905771, 102.1036341 38.3903094, 102.1035507 38.3903842, 102.1039416 38.3906519))",POINT (102.1037878 38.3904807),497.4,5353.7
,185,925937481,,yes,,,"POLYGON ((103.8600844 35.36722, 103.8602663 35.3671916, 103.8599928 35.3660236, 103.8598108 35.366052, 103.8600844 35.36722))",POINT (103.8600386 35.3666217),2217.1,23864.3
,186,672094872,,yes,,,"POLYGON ((103.6069681 36.1098154, 103.6064453 36.1099022, 103.6064671 36.1099878, 103.6069899 36.109901, 103.6069784 36.1098556, 103.6069681 36.1098154))",POINT (103.6067176 36.1099016),466.0,5015.7
,187,664828110,,yes,,,"POLYGON ((103.5920352 36.1679222, 103.5923777 36.1679233, 103.5923785 36.1677793, 103.5920359 36.1677781, 103.5920352 36.1679222))",POINT (103.5922068 36.1678507),491.3,5287.9
,188,410811831,,yes,,,"POLYGON ((103.691812 36.1112297, 103.6914314 36.111289, 103.6914547 36.1113867, 103.6918353 36.1113274, 103.691812 36.1112297))",POINT (103.6916333 36.1113082),384.3,4136.6
,189,846969517,,yes,,,"POLYGON ((105.8916633 34.5597516, 105.8912006 34.5598886, 105.8912569 34.5600176, 105.8917196 34.5598807, 105.8916633 34.5597516))",POINT (105.8914601 34.5598846),685.4,7378.0
,190,915128730,,yes,,,"POLYGON ((104.6875674 36.5638883, 104.6875334 36.5639879, 104.6882576 36.5641473, 104.6882915 36.5640478, 104.6875674 36.5638883))",POINT (104.6879124 36.5640178),771.2,8301.1
,191,776182365,,yes,,,"POLYGON ((104.1191452 35.8656636, 104.1196741 35.8658571, 104.119741 35.8657369, 104.1192121 35.8655434, 104.1191452 35.8656636))",POINT (104.1194431 35.8657003),765.6,8240.4
,192,409830557,,yes,,,"POLYGON ((103.7202984 36.1068168, 103.7204418 36.1067936, 103.7204055 36.1066469, 103.7209765 36.1065546, 103.7210128 36.1067013, 103.7211567 36.1066781, 103.7210928 36.1064197, 103.7202345 36.1065584, 103.7202984 36.1068168))",POINT (103.7206874 36.1065843),1431.4,15407.4
,193,776182277,,yes,,,"POLYGON ((104.1351943 35.8584316, 104.1356127 35.858649, 104.1356964 35.8585433, 104.135278 35.8583259, 104.1351943 35.8584316))",POINT (104.1354453 35.8584874),623.6,6712.7
,194,776193168,,yes,,,"POLYGON ((103.821474 36.0559081, 103.8217535 36.0558901, 103.8217422 36.0557758, 103.8214628 36.0557938, 103.821474 36.0559081))",POINT (103.8216081 36.055842),321.6,3461.8
,195,781765531,,yes,,,"POLYGON ((103.7722448 39.1835662, 103.7723869 39.1834799, 103.7723252 39.1834189, 103.7721831 39.1835052, 103.7722448 39.1835662))",POINT (103.772285 39.1834925),133.4,1436.3
